pid	term	grp	duration
639891	201740	Dropped Out	1
639891	201750	Dropped Out	1
639891	201830	Dropped Out	1
639891	201840	Dropped Out	1
639891	201850	Dropped Out	1
639891	201930	Dropped Out	1
639891	201940	Dropped Out	1
639891	201950	Dropped Out	1
639891	202030	Dropped Out	1
639891	202040	Dropped Out	1
639891	202050	Dropped Out	1
639891	202130	Dropped Out	1
639891	202140	Dropped Out	1
641472	start	Starting Cohort	1
641472	201150	Freshman	1
641472	201230	Freshman	1
641472	201240	Dropped Out	1
641472	201250	Dropped Out	1
641472	201330	Dropped Out	1
641472	201340	Dropped Out	1
641472	201350	Dropped Out	1
641472	201430	Dropped Out	1
641472	201440	Dropped Out	1
641472	201450	Dropped Out	1
641472	201530	Dropped Out	1
641472	201540	Dropped Out	1
641472	201550	Dropped Out	1
641472	201630	Dropped Out	1
641472	201640	Dropped Out	1
641472	201650	Dropped Out	1
641472	201730	Dropped Out	1
641472	201740	Dropped Out	1
641472	201750	Dropped Out	1
641472	201830	Dropped Out	1
641472	201840	Dropped Out	1
641472	201850	Dropped Out	1
641472	201930	Dropped Out	1
641472	201940	Dropped Out	1
641472	201950	Dropped Out	1
641472	202030	Dropped Out	1
641472	202040	Dropped Out	1
641472	202050	Dropped Out	1
641472	202130	Dropped Out	1
641472	202140	Dropped Out	1
643321	start	Starting Cohort	1
643321	201150	Freshman	1
643321	201230	Freshman	1
643321	201240	Freshman	1
643321	201250	Dropped Out	1
643321	201330	Dropped Out	1
643321	201340	Dropped Out	1
643321	201350	Dropped Out	1
643321	201430	Dropped Out	1
643321	201440	Dropped Out	1
643321	201450	Dropped Out	1
643321	201530	Dropped Out	1
643321	201540	Dropped Out	1
643321	201550	Dropped Out	1
643321	201630	Dropped Out	1
643321	201640	Dropped Out	1
643321	201650	Dropped Out	1
643321	201730	Dropped Out	1
643321	201740	Dropped Out	1
643321	201750	Dropped Out	1
643321	201830	Dropped Out	1
643321	201840	Dropped Out	1
643321	201850	Dropped Out	1
643321	201930	Dropped Out	1
643321	201940	Dropped Out	1
643321	201950	Dropped Out	1
643321	202030	Dropped Out	1
643321	202040	Dropped Out	1
643321	202050	Dropped Out	1
