pid	term	grp	duration
321923	201330	Dropped Out	1
321923	201340	Dropped Out	1
321923	201350	Dropped Out	1
321923	201430	Dropped Out	1
321923	201440	Dropped Out	1
321923	201450	Dropped Out	1
321923	201530	Dropped Out	1
321923	201540	Dropped Out	1
321923	201550	Dropped Out	1
321923	201630	Dropped Out	1
321923	201640	Dropped Out	1
321923	201650	Dropped Out	1
321923	201730	Dropped Out	1
321923	201740	Dropped Out	1
321923	201750	Dropped Out	1
321923	201830	Dropped Out	1
321923	201840	Dropped Out	1
321923	201850	Dropped Out	1
321923	201930	Dropped Out	1
321923	201940	Dropped Out	1
321923	201950	Dropped Out	1
321923	202030	Dropped Out	1
321923	202040	Dropped Out	1
321923	202050	Dropped Out	1
321923	202130	Dropped Out	1
321923	202140	Dropped Out	1
322043	start	Starting Cohort	1
322043	201150	Freshman	1
322043	201230	Junior	1
322043	201240	Junior	1
322043	201250	Junior	1
322043	201330	Dropped Out	1
322043	201340	Dropped Out	1
322043	201350	Dropped Out	1
322043	201430	Dropped Out	1
322043	201440	Dropped Out	1
322043	201450	Dropped Out	1
322043	201530	Dropped Out	1
322043	201540	Dropped Out	1
322043	201550	Dropped Out	1
322043	201630	Dropped Out	1
322043	201640	Dropped Out	1
322043	201650	Dropped Out	1
322043	201730	Dropped Out	1
322043	201740	Dropped Out	1
322043	201750	Dropped Out	1
322043	201830	Dropped Out	1
322043	201840	Dropped Out	1
322043	201850	Dropped Out	1
322043	201930	Dropped Out	1
322043	201940	Dropped Out	1
322043	201950	Dropped Out	1
322043	202030	Dropped Out	1
322043	202040	Dropped Out	1
322043	202050	Dropped Out	1
322043	202130	Dropped Out	1
322043	202140	Dropped Out	1
323681	start	Starting Cohort	1
323681	201150	Senior	1
323681	201230	Senior	1
323681	201240	Graduated	1
323681	201250	Graduated	1
323681	201330	Graduated	1
323681	201340	Graduated	1
323681	201350	Graduated	1
323681	201430	Graduated	1
323681	201440	Graduated	1
323681	201450	Graduated	1
323681	201530	Graduated	1
323681	201540	Graduated	1
323681	201550	Graduated	1
323681	201630	Graduated	1
323681	201640	Graduated	1
323681	201650	Graduated	1
323681	201730	Graduated	1
323681	201740	Graduated	1
323681	201750	Graduated	1
323681	201830	Graduated	1
323681	201840	Graduated	1
323681	201850	Graduated	1
323681	201930	Graduated	1
323681	201940	Graduated	1
323681	201950	Graduated	1
323681	202030	Graduated	1
323681	202040	Graduated	1
323681	202050	Graduated	1
323681	202130	Graduated	1
323681	202140	Graduated	1
328310	start	Starting Cohort	1
328310	201150	Dropped Out	1
328310	201230	Dropped Out	1
328310	201240	Dropped Out	1
328310	201250	Dropped Out	1
328310	201330	Dropped Out	1
328310	201340	Dropped Out	1
328310	201350	Dropped Out	1
328310	201430	Dropped Out	1
328310	201440	Dropped Out	1
328310	201450	Dropped Out	1
328310	201530	Dropped Out	1
328310	201540	Dropped Out	1
328310	201550	Dropped Out	1
328310	201630	Dropped Out	1
328310	201640	Dropped Out	1
328310	201650	Dropped Out	1
328310	201730	Dropped Out	1
328310	201740	Dropped Out	1
328310	201750	Dropped Out	1
328310	201830	Dropped Out	1
328310	201840	Dropped Out	1
328310	201850	Dropped Out	1
328310	201930	Dropped Out	1
328310	201940	Dropped Out	1
328310	201950	Dropped Out	1
328310	202030	Dropped Out	1
328310	202040	Dropped Out	1
328310	202050	Dropped Out	1
328310	202130	Dropped Out	1
328310	202140	Dropped Out	1
343672	start	Starting Cohort	1
343672	201150	Junior	1
343672	201230	Senior	1
343672	201240	Sabbatical	1
343672	201250	Sabbatical	1
343672	201330	Dropped Out	1
343672	201340	Dropped Out	1
343672	201350	Dropped Out	1
343672	201430	Dropped Out	1
343672	201440	Dropped Out	1
343672	201450	Dropped Out	1
343672	201530	Dropped Out	1
343672	201540	Dropped Out	1
343672	201550	Dropped Out	1
343672	201630	Dropped Out	1
343672	201640	Dropped Out	1
343672	201650	Dropped Out	1
343672	201730	Dropped Out	1
343672	201740	Dropped Out	1
343672	201750	Dropped Out	1
343672	201830	Dropped Out	1
343672	201840	Dropped Out	1
343672	201850	Dropped Out	1
343672	201930	Dropped Out	1
343672	201940	Dropped Out	1
343672	201950	Dropped Out	1
343672	202030	Dropped Out	1
343672	202040	Dropped Out	1
343672	202050	Dropped Out	1
343672	202130	Dropped Out	1
343672	202140	Dropped Out	1
343912	start	Starting Cohort	1
343912	201150	Freshman	1
343912	201230	Dropped Out	1
343912	201240	Dropped Out	1
343912	201250	Dropped Out	1
343912	201330	Dropped Out	1
343912	201340	Dropped Out	1
343912	201350	Dropped Out	1
343912	201430	Dropped Out	1
343912	201440	Dropped Out	1
343912	201450	Dropped Out	1
343912	201530	Dropped Out	1
343912	201540	Dropped Out	1
343912	201550	Dropped Out	1
343912	201630	Dropped Out	1
343912	201640	Dropped Out	1
343912	201650	Dropped Out	1
343912	201730	Dropped Out	1
343912	201740	Dropped Out	1
343912	201750	Dropped Out	1
343912	201830	Dropped Out	1
343912	201840	Dropped Out	1
343912	201850	Dropped Out	1
343912	201930	Dropped Out	1
343912	201940	Dropped Out	1
343912	201950	Dropped Out	1
343912	202030	Dropped Out	1
343912	202040	Dropped Out	1
343912	202050	Dropped Out	1
343912	202130	Dropped Out	1
343912	202140	Dropped Out	1
344756	start	Starting Cohort	1
344756	201150	Freshman	1
344756	201230	Freshman	1
344756	201240	Freshman	1
344756	201250	Freshman	1
344756	201330	Freshman	1
344756	201340	Transferred Out	1
344756	201350	Transferred Out	1
344756	201430	Transferred Out	1
344756	201440	Transferred Out	1
344756	201450	Transferred Out	1
344756	201530	Transferred Out	1
344756	201540	Transferred Out	1
344756	201550	Transferred Out	1
344756	201630	Transferred Out	1
344756	201640	Transferred Out	1
344756	201650	Transferred Out	1
