pid,START,Fall 2011,Spring 2012,Summer 2012,Fall 2012,Spring 2013,Summer 2013,Fall 2013,Spring 2014,Summer 2014,Fall 2014,Spring 2015,Summer 2015,Fall 2015,Spring 2016,Summer 2016,Fall 2016,Spring 2017,Summer 2017,Fall 2017,Spring 2018,Summer 2018,Fall 2018,Spring 2019,Summer 2019,Fall 2019,Spring 2020,Summer 2020,Fall 2020,Spring 2021,Summer 2021
883685,START,FR,FR,FR,SO,SO,SO,JU,JU,JU,SR,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
883687,START,FR,FR,SA,SA,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
883763,START,FR,FR,FR,FR,SO,SO,SO,SO,SO,JU,JU,JU,JU,SR,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
883783,START,FR,FR,FR,TO,TO,TO,TO,SO,SO,SO,SO,SO,JU,JU,JU,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
883784,START,FR,FR,FR,SO,SO,SO,JU,JU,JU,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
883786,START,FR,FR,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
883791,START,FR,FR,FR,FR,SO,SA,SA,SA,SA,SA,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
883830,START,FR,FR,FR,SO,SO,SO,SO,JU,JU,JU,JU,JU,JU,SR,SR,SR,SR,SR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR,GR
883838,START,FR,SA,SA,SA,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
883843,START,FR,FR,FR,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO,DO
